Year,State,GeoFIPS,Avg Rent,Income per capita,Population,Rent as Percent Income,Rent Change YOY,Percent Rent Change YOY,Rent as Percent Income Change YOY
2019,CA,06000,2232.5175766512402,65796.60944362517,37958008,40.716704320104604,95.88493883094225,4.48766611225971,-0.4239060355303579
2020,CA,06000,2289.175376879948,71556.18750780867,37906576,38.38955858228425,56.657800228707856,2.53784341145901,-2.327145737820352
2021,CA,06000,2450.293763183651,77675.90732107488,37632698,37.85411226245967,161.11838630370312,7.0382718567985325,-0.5354463198245796
2015,CO,08000,1244.3525049206978,53951.13454059108,3988930,27.677323537679914,NA,NA,NA
2016,CO,08000,1290.509673982129,53023.81303321126,4751400,29.205964644764187,46.157169061431205,3.709332273524277,1.5286411070842725
2017,CO,08000,1327.1295062131317,56137.52512432572,4815174,28.368821103687488,36.61983223100265,2.837625549756999,-0.8371435410766992
2018,CO,08000,1403.476521797022,59399.66658915332,4885180,28.353220192383453,76.34701558389042,5.752793169503188,-0.01560091130403407
2019,CO,08000,1464.282020244033,63145.74475418108,4940649,27.826711540629884,60.805498447010905,4.332491317286525,-0.52650865175357
2020,CO,08000,1505.5528717370466,66319.39522438958,4988556,27.24185647308253,41.27085149301365,2.8185042855429976,-0.5848550675473518
2021,CO,08000,1677.231441760233,71758.51005954889,5065585,28.047930878749526,171.67857002318647,11.40302497813382,0.806074405666994
2015,CT,09000,1573.3692997967457,78434.71580847513,1819252,24.07152420066633,NA,NA,NA
2016,CT,09000,1481.2567625741194,72607.48789543542,2884036,24.48105789927335,-92.11253722262632,-5.854476583121699,0.40953369860701727
2017,CT,09000,1465.366649631138,72408.7539952992,3155208,24.28490869586741,-15.890112942981432,-1.0727453433102097,-0.19614920340593756
2018,CT,09000,1490.5315539384055,75549.39762647633,3158595,23.6750777758585,25.164904307267534,1.717311112109863,-0.6098309200089105
2019,CT,09000,1539.2335463564693,77964.45959210503,3155126,23.691310954905987,48.70199241806381,3.2674244493100053,0.01623317904748589
2020,CT,09000,1611.493577995277,80815.21109282247,3149496,23.928568241605202,72.26003163880773,4.694546309093573,0.2372572866992151
2021,CT,09000,1750.1361917648776,85756.32558437432,3153886,24.489895244538374,138.64261376960053,8.603361233500793,0.5613270029331723
2015,DE,10000,1208.1048031039709,50558,558446,28.674507767806578,NA,NA,NA
2016,DE,10000,1166.2850880974886,48711.106660317026,734950,28.731478335661322,-41.819715006482284,-3.4615966180281155,0.0569705678547443
2017,DE,10000,1197.118505291228,50472.07901698559,738626,28.46211676491527,30.83341719373948,2.6437290083196316,-0.26936157074605305
2018,DE,10000,1237.320825459356,52885.86592789956,743130,28.075270481067033,40.202320168127926,3.3582573479931077,-0.38684628384823583
2019,DE,10000,1284.5341832992322,53933.99863719261,748455,28.580136072019492,47.21335783987615,3.815773311852903,0.5048655909524591
2020,DE,10000,1339.8375318164076,56214.222942624845,752974,28.601392210307676,55.303348517175436,4.305323224262731,0.021256138288183735
2021,DE,10000,1592.1338498000216,60081.01953147222,755857,31.799736999456503,252.29631798361402,18.830366517765615,3.198344789148827
2015,FL,12000,1291.9208506343812,46502.94239460425,17768648,33.33778339456515,NA,NA,NA
2016,FL,12000,1348.7471681051732,47207.697133722606,18115239,34.28459128479797,56.82631747079199,4.398591248286468,0.9468078902328187
2017,FL,12000,1401.6355664669006,49889.60430647176,18405833,33.71369052013294,52.88839836172747,3.921298195274751,-0.5709007646650264
2018,FL,12000,1458.9150413842035,52383.37288390928,18798875,33.420872946476685,57.27947491730288,4.086616827346006,-0.29281757365625793
2019,FL,12000,1522.8803609090417,55503.82621651085,19068716,32.924873070232266,63.96531952483815,4.3844444474401,-0.49599987624441866
2020,FL,12000,1576.5014247541803,58271.08348277977,19238219,32.46553172919944,53.62106384513868,3.5210293087719022,-0.4593413410328253
2021,FL,12000,1835.2259603327846,63219.30068114037,19776834,34.83542412952259,258.7245355786042,16.411309975120794,2.3698924003231525
2015,GA,13000,1068.931703144169,47028.08548122485,5606506,27.275574385972096,NA,NA,NA
2016,GA,13000,1104.8486325665974,47861.716904960645,6011762,27.70101962101786,35.91692942242844,3.3600771047188456,0.42544523504576404
2017,GA,13000,1151.897329641965,49776.376206759145,6183504,27.769735382678544,47.0486970753675,4.258383971211687,0.06871576166068394
2018,GA,13000,1215.1261987622306,51977.272573730275,6256487,28.05363510457911,63.2288691202657,5.4891063199112224,0.28389972190056767
2019,GA,13000,1274.8376647274317,54283.42763988343,6499340,28.181809148487353,59.711465965201114,4.91401354246376,0.12817404390824194
2020,GA,13000,1341.7022032183731,56841.47313000356,6679625,28.32513929010388,66.86453849094141,5.244945324488626,0.14333014161652713
2021,GA,13000,1525.3551168240776,60094.98565265813,7000112,30.458883055044538,183.6529136057045,13.688053367220526,2.1337437649406574
2015,HI,15000,2050.679650823368,50923,1017472,48.324246037901176,NA,NA,NA
2016,HI,15000,2151.3965917065093,52296,1023837,49.366603756459604,100.71694088314143,4.911393197991827,1.0423577185584278
2017,HI,15000,2170.1408987908653,54279,1022650,47.97746971294678,18.744307084356024,0.8712622840723128,-1.3891340435128257
2018,HI,15000,2217.622182195547,55214,1021634,48.19695400866911,47.48128340468156,2.187935512903178,0.21948429572233152
2019,HI,15000,2281.586039313833,57560,1018784,47.566074481872825,63.96385711828634,2.884344214800341,-0.630879526796285
2020,HI,15000,2323.610605801794,60114,1013227,46.38408235955273,42.02456648796078,1.841901456435949,-1.1819921223200964
2021,HI,15000,2485.847586864384,63912,1000890,46.67381875449463,162.23698106259008,6.982107099076868,0.2897363949419045
2015,IA,19000,931.742984934681,49535.245965967595,688579,22.57163682380389,NA,NA,NA
2016,IA,19000,923.964937928446,49172.23575881299,1004200,22.548454598495983,-7.778047006234942,-0.8347846060553077,-0.023182225307905924
2017,IA,19000,992.7341543322794,49552.481825746305,1259474,24.04079354466911,68.76921640383341,7.442838313542051,1.4923389461731276
2018,IA,19000,1035.4609989393043,51255.42022766502,1267037,24.242376576136223,42.72684460702487,4.303956343253171,0.20158303146711276
2019,IA,19000,1068.6281546891366,52387.68748519777,1275146,24.478152161026294,33.16715574983232,3.2031294064969877,0.2357755848900709
2020,IA,19000,1143.4712120270406,55604.769856081446,1280099,24.677117772161342,74.84305733790393,7.003657634275576,0.19896561113504774
2021,IA,19000,1196.8072243905108,59380.42214712973,1487055,24.18589523850384,53.33601236347022,4.664394853362425,-0.4912225336575027
