RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2642.9107127022517,2656.5626537998273,2676.73955890521,2703.650057390762,2726.4230903097796,2747.7774183401216,2759.8465197744003,2771.670427167922,2778.0103745918223,2776.3508495077203,2762.72528889609,2746.991666707112,2738.674911298763,2741.331742292098,2750.98921828608,2763.9636825976213,2779.7576255559775,2796.131981999892,2812.754322306986,2820.978676683331,2822.078617371574,2811.7561589666225,2798.8509571572295,2779.050201623534,2770.59831427317,2769.337831495001,2782.2945678824817,2799.3411482367924,2821.0513448996744,2841.2722883298156,2854.9702230994567,2859.3592726815446,2850.5168423998493,2829.589065745251,2803.729252474974,2784.873224372897,2782.0670119825345,2790.2790478428124,2808.7707522496125,2832.309887819579,2856.723519057621,2878.665482580347,2894.3162153205362,2905.1470994687993,2906.716757266398,2893.9638656454476,2876.418312252063,2859.242807054256,2855.7125805799374,2864.9199370732545,2884.028328259718,2908.27637722678,2935.5310242872147,2962.6992561082748,2983.918064480587,2996.63458696494,2999.0511234222545,2992.8398368042417,2975.0263719088907,2961.2864218704235,2957.861912671014,2976.104344511095,2991.057352430007,2980.756785252663,2951.2519584166025,2909.725989516276,2868.533177686053,,,2660.1659032571624,2611.5747981539744,2586.400589684775,2576.1938387222576,2591.457779695181,2620.446026502368,2663.4096128982806,2722.75256789748,2797.354619426058,2881.6455061387533,2958.4418845963723,3020.5279257472735,3057.2298393032715,3085.1988064517427,3104.6987307099025,3133.8922913731053,3170.396927979992,3217.5863443473877,3267.4921127356406,3329.280419952896,3393.2485235812446,3449.51442754332,3482.3788328440182,3486.9430334175045,3466.156769436372,3426.6044457466246,3396.3416654219113,3388.951747420333,3401.0948011582286,3424.945679817748,3460.898415778874,3504.4734478793116,3548.131101615581,3578.190344654217,3589.9619154797247,3585.9431984331563,3563.8947921179315,3525.8513397530783,3496.716312668808,3490.5537667788867,3514.046710682494,3553.2186050379437,3595.5704107172305,3641.036052656391,3677.6902930711844,3699.1824107262187,3702.100046718067,3686.243981759977
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1847.5928552200705,1862.4110244867547,1878.2255160341342,1890.713426470098,1912.7753585070775,1924.378316049327,1940.7846987532782,1948.8864322476275,1967.8584603002982,1978.7695786767279,1982.8803394796385,1986.7892688992788,1999.2543478158648,2020.2762198609184,2037.4514951781127,2045.1307184380637,2064.367866807822,2081.848278929981,2096.546235677501,2093.5840746920853,2092.7590080418977,2098.619000047448,2101.623249346339,2108.440738993989,2122.4338455928096,2137.70152593143,2162.0974107786224,2173.109979366182,2190.1127227417787,2198.890406498372,2211.954725727594,2220.3352027891838,2221.3135205384783,2225.970014747924,2231.458737346861,2239.8928535120435,2251.427215559324,2265.9822267757386,2275.8558392892614,2282.686414825228,2288.960043526584,2305.072089282187,2319.832065185787,2333.9036318827684,2339.421777234993,2341.320568210369,2342.636690258252,2346.735533100809,2352.6479477165917,2354.9680551016804,2367.558484049821,2379.1908979469104,2393.961682912115,2405.2379200702385,2416.0758443072364,2424.59944397717,2427.092810302323,2426.2204445922207,2422.738483005476,2424.3269660114547,2426.2678241449266,2433.646383432474,2430.773728117512,2419.034485931282,2402.278115887163,2391.687200771861,2388.446793145522,2382.5476027437244,2369.759839483813,2358.2752620251026,2351.4868943927195,2347.226612742612,2350.2219860163245,2351.1617745938165,2359.6491518662588,2368.002633655846,2388.2154043447713,2420.4965574404723,2462.6389745424804,2511.573413161627,2549.2434132780722,2573.557343709818,2587.7784675201315,2607.8280033921847,2629.337179798498,2653.7197912009888,2670.5609654806053,2694.386593028718,2718.363092753299,2743.580428018895,2766.070008981346,2783.275761312126,2794.4871062600673,2789.2417592173333,2781.0104749463826,2772.7702451986543,2772.8941574007936,2777.023284221468,2789.304843939679,2799.707292025385,2804.3292511662785,2803.464419667606,2803.86747536063,2810.7671212649834,2814.307622473791,2809.7640729538407,2794.7231268083488,2782.279853941595,2787.1904740126038,2794.8282074262474,2811.5466284504,2819.6622521558556,2835.1246826158886,2845.379227959569,2857.5770961755197,2863.451509736898,2867.1338407489784
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1210.6788666544874,1213.8390285526398,1219.0738110915313,1228.5241420946616,1238.9522220659564,1247.743457469307,1248.4677125362289,1249.5486750185482,1246.4391066733344,1244.0668721500235,1241.388182903031,1239.3577247456456,1240.1012248806787,1240.6481831036929,1247.5056719210793,1253.418222912655,1256.8661741501317,1256.9604941258212,1255.7764613280378,1253.6493263975465,1248.6757232637217,1246.367731039924,1242.3323639399869,1240.148908861326,1239.5798844921032,1246.7813227332401,1254.842918381994,1258.4599165527623,1265.5814416040305,1266.4219896358338,1266.2580801022914,1259.8743789870416,1266.4476370991165,1276.1603756790053,1289.8078546177967,1298.7738434133378,1301.490525987757,1307.237025987244,1306.023158988177,1313.6326730606156,1315.547070528783,1321.9496650831823,1321.295931224989,1319.120715109687,1314.3684455068048,1316.2201807877352,1318.7410129535015,1319.4184035101405,1318.5364299370146,1315.1838329279117,1321.0214330842937,1325.4424339308703,1335.284497875281,1342.0936999216049,1345.969394285792,1346.6914472692902,1342.6996550532065,1341.249604506801,1339.2282041742124,1342.6833609348066,1345.0431560187656,1351.9684468271075,1357.8405619983591,1353.6017826553348,1345.5993187532918,1336.1091502950467,1338.9608043872038,1341.1984250701566,1340.2307796250575,1340.7471912142248,1340.9482631670437,1338.9502674425196,1338.539919502705,1338.4811076001718,1346.9993043315264,1359.3463007271353,1379.985282496817,1408.2066756510155,1434.5664120346685,1457.0874080932497,1470.3586946045093,1476.5702700228578,1480.8079683250494,1481.0045191828947,1487.695673567444,1496.7235047039853,1508.1553262374528,1518.178075672208,1529.7843408540866,1544.536154635452,1555.4507170159861,1559.7368178812194,1557.9262120342305,1552.186978099886,1547.2570988007255,1546.170340910345,1552.2286632696148,1561.045715686293,1571.0879582789678,1575.476965133598,1583.153164255279,1589.827658010836,1596.9710433034306,1596.5254066555747,1592.8177593146404,1588.688091696375,1587.5029488251148,1588.5429505070595,1591.8268638343413,1595.3517324561296,1597.0686147873566,1603.2574059510534,1611.8602390483004,1621.426136479738,1625.5003813249548,1628.3795587654056,1629.5318488684154
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1508.3881448590666,1517.3000525477157,1528.2155007386907,1538.772079711186,1552.3619706836785,1565.115391637623,1571.0977346579662,1573.8824818661985,1566.9728735765016,1558.1081396794925,1548.2606940121184,1547.3742966910065,1558.5318527487257,1572.0774619204255,1586.0847546253026,1593.0990181371974,1600.8723086347081,1611.408330733832,1619.9735150721008,1624.6979774456527,1615.5854968162448,1601.563268702974,1584.2742948950502,1577.1112856458424,1584.3448510409298,1603.4068136019794,1624.9924194719717,1639.8460008699878,1651.8869958043294,1658.339763823163,1660.9521408977257,1654.1347059283921,1644.9196883035286,1629.815096147624,1619.5583536633203,1615.984973879341,1625.1131410058408,1640.1077469851969,1654.5355650351253,1667.2234846526464,1678.5281178688995,1689.3698785095773,1694.6371367488255,1691.183544928599,1676.3442115515948,1660.6712514596463,1649.314648923054,1650.7101555790557,1662.4503001986345,1676.2422374115688,1694.5538134034318,1708.2683090986354,1722.0540350993178,1730.0742299422639,1734.9192027404797,1736.6000361707916,1730.1121311536754,1721.406142009302,1710.3057017454332,1704.8256731186898,1713.1833374224896,1727.720290779826,1744.0601564917845,1745.108630087021,1742.2872685382226,1737.1933495804362,1733.0625450487182,1720.7104792266437,1696.3612698486695,1661.2415731245178,1630.6067526211996,1617.1065866134743,1619.099230468454,1635.6968138613308,1658.727007383295,1691.641972328315,1723.5424509106554,1752.13888593472,1770.7099858170816,1782.2184554563667,1783.822260294674,1780.7126436028714,1775.7603584010953,1781.1537197850791,1796.986892621683,1817.0929386691118,1841.4618344362423,1867.0227792288676,1895.2826921461894,1916.6396172021537,1933.0920015396161,1939.1629575591567,1937.3882187673325,1930.3306769075705,1923.5921231211146,1922.6419342896588,1931.9793341935792,1948.0738942505982,1968.2973216289854,1988.2194906343636,2012.4699555350467,2034.1836278614394,2045.7964953002395,2049.1835010627597,2038.4175419888343,2023.7821170635805,2008.4208294804212,2009.5108562918856,2021.854096362945,2044.3928904606455,2064.1997232046256,2089.491180110565,2109.3717862536005,2128.107614550234,2134.6018187600102,2130.917241374048,2121.775763029094
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,1010.3246287867713,1013.9616351082166,1020.8396485058644,1029.4159438431168,1038.9202576318185,1046.924036259792,1048.4536839625393,1046.710419705641,1045.669825684684,1050.4459147555779,1052.0254086082743,1053.2517694056305,1053.2675798200107,1057.239954931015,1062.7897414269148,1071.1716045903781,1077.8133985931922,1083.1182487305507,1085.0767404671806,1088.8962606284622,1090.5494854538445,1088.8873357144244,1088.8777856748725,1087.0059245713292,1092.3033640457725,1096.9519009904625,1105.4582414345475,1111.303728230033,1116.2847895370846,1124.5238837063816,1128.12195109379,1127.4490069642231,1123.6074264255615,1120.1807828111664,1118.4893420084104,1117.5499201290856,1118.7947207266627,1122.876966436212,1129.6163576452602,1135.2736650209808,1140.966472337799,1146.512761783387,1154.011554285508,1160.0076815671941,1160.2102161940986,1159.2138298890745,1157.0092260056392,1155.5152716973978,1156.364277570495,1160.0195200766923,1167.6388901608364,1174.565124069227,1179.5240948229434,1184.8466910989582,1190.3320508101363,1200.1913179183234,1203.117303947633,1202.1410766974877,1192.560081875259,1189.9863567657328,1189.8598325944126,1196.8921742479602,1201.2309217926818,1202.3926123049657,1199.9781460307454,1200.8342809180676,1207.4026498468688,1212.8975576930866,1216.0263429013012,1214.876443026813,1215.2233564306323,1217.4097335159418,1219.5407034982397,1223.3007733297206,1230.5961212988695,1246.0475428498223,1263.7737536197922,1284.9508614363901,1309.4588700638835,1336.8288197348727,1357.2168106464437,1369.0061294354866,1374.197133192648,1379.676263831091,1385.0797987484996,1396.0863081506895,1409.849782070088,1423.6071928670503,1437.5656521668298,1447.8176846049655,1460.6864635504978,1462.6856633837717,1460.7432077332967,1448.963060278453,1440.6679419301527,1437.0646734244594,1443.5318749498401,1448.5499793168315,1459.0764696692752,1461.5392813449093,1467.0503820752278,1463.073572191123,1461.2600187666458,1457.4230947223705,1452.9522563838018,1446.1978682965973,1442.5069342087684,1440.5869702826362,1440.857179475556,1442.3707998738553,1448.620173833316,1456.6155589159816,1460.9829938274827,1461.2297643913057,1461.179232407929,1458.8444873271546,1453.496180413419
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1189.8680123019183,1199.5050228765829,1218.715559923315,1225.2406418324788,1232.1910167937474,1234.4305797685222,1238.406228075398,1237.186954835915,1234.1845087414583,1232.7249418678023,1228.315167729485,1224.995637963677,1223.3800505893232,1235.303043543904,1248.9233593590757,1261.3850704307652,1267.8540005053542,1273.3805393917235,1274.1466203579762,1273.793334420888,1270.1120023655255,1266.4117522907934,1270.1177435030156,1268.626240946331,1273.9629275061081,1279.3723902304619,1294.2879315078972,1304.5373097272159,1308.5976945284299,1309.2517174766024,1309.565106632345,1308.4275958344415,1306.7531864949483,1304.2158799536899,1302.9681861819106,1305.4570394111208,1310.3074377112798,1319.7802901659593,1333.0474889203963,1343.2335297571012,1352.1477392980612,1353.4203248295225,1350.893288047721,1349.6185471088497,1348.2916173682997,1352.8885463489585,1358.6646533953278,1357.3756948143698,1362.3617457878727,1367.683310239321,1384.1480937408178,1392.3372046255522,1397.9462727726095,1404.1150861610327,1408.7362498629602,1408.2421676717072,1403.9485926340164,1403.2944425167325,1402.2976079047485,1404.902386066052,1407.8375181967695,1417.5983786320883,1426.4163424353198,1429.80439383387,1429.3408861215719,1429.1254634099244,1431.5489090035167,1429.0306252910902,1423.5994304839526,1416.8184570454289,1414.826441054286,1415.4073813830494,1419.9933081832378,1425.1803630814038,1433.146993958656,1446.367141691973,1465.2699178252553,1480.904129897577,1494.7219375128527,1506.4877731938104,1507.9598879572366,1515.1022342160484,1522.384611531524,1541.5133618075654,1551.6677570733416,1558.36211153663,1567.3996240994563,1579.8392742201872,1595.2900907083024,1607.817293497358,1613.8745151255541,1615.7171080324267,1614.5710154587198,1610.24183753072,1609.1809262288577,1604.5839380784546,1610.201112482619,1613.790129556787,1625.7905717812466,1634.3081570956845,1641.9760634416537,1645.0399941236599,1647.476796503959,1649.4735958794074,1653.0001549019003,1657.33131562107,1661.3435501899162,1660.6742324698707,1664.3038607427138,1669.5681770717908,1681.2775555102355,1687.5185326909182,1694.345020591937,1698.3552354658354,1702.961258047341,1708.015735377028,1710.500707960621
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,850.8340849173653,862.8726694306026,870.8130269884072,879.8255620794348,883.4310270785545,890.5875501211857,894.1885710401774,897.1015722074005,901.2446513338588,903.5434892068379,905.7862944468876,904.2013293959598,911.6751765489292,917.2510722515356,927.2780262785099,934.8875304881267,944.6365594762789,952.3148969455975,954.3109587605612,953.9722011881795,954.8715006648468,955.3212642497725,957.2205592678249,956.8957433532463,962.9818588176519,972.1137702295312,984.780425135739,996.8830184812234,1008.4763469445257,1015.5377490368113,1018.4598405934823,1018.9116565944701,1018.2875757736292,1019.9034370147785,1021.1843768295817,1023.6857999453938,1027.716111013351,1034.1860884270027,1047.8665584823477,1060.820138284402,1072.9717733331877,1080.7147495127442,1088.2972405481617,1094.5456156432986,1102.4105307089392,1108.3346248888326,1112.022063001724,1114.8939166571702,1117.4366756166955,1128.2106166913302,1138.4215999971932,1152.892142427809,1162.5371255992834,1174.5569688496885,1182.0293888535618,1188.2762320840184,1190.3286739015916,1192.5565776520978,1199.0572058367609,1208.8607269314211,1217.6309672753705,1226.362619625294,1231.5655734771324,1234.5418160106717,1235.9306804436162,1240.5632740229014,1251.5954968887304,1265.00510202017,1275.6968104416346,1284.535359096693,1289.530170409529,1300.767617536539,1311.578818374545,1325.4273150472873,1344.740213025943,1375.324969722963,1416.0839997671521,1456.5456062338367,,1543.3583576097355,1577.8887518827937,1595.373211154873,1605.9995082321918,1616.3275443711254,1626.9634793974851,1639.2169808381623,1651.8036195367765,1664.3906712783812,1675.2373866882115,1684.0955509959251,1691.6050776825418,1692.035340995497,1684.7977617816018,1676.027117377462,1670.5910018932043,1669.413332503689,1663.4302570768598,1664.1371705267252,1673.0365711153847,1684.3723779731392,1692.84106899882,1691.5589950300032,1692.5371191817146,1686.1921969162386,1684.6259106890222,1679.7767716550754,1672.925685805548,1664.7832075271476,1662.8279685398943,1673.5753225343485,1685.4200665428575,1697.3626615012374,1704.6411508103556,1705.9785930670666,1707.232301479306,1704.1124032736195,1703.5127439025443
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,972.728018544753,978.1669714423871,983.4158175023824,990.655710532923,996.9911279112309,1003.4072820833037,1009.4773791310855,1012.5327967683022,1016.8602279165783,1016.5105767860321,1017.1406094812746,1015.3741660526208,1017.9125541657164,1021.4061113253026,1026.0639904768939,1031.520790235831,1038.4067380771378,1048.2774163757847,1053.1877406000701,1056.7576957784738,1056.7354585635476,1059.482777401907,1059.8429033653515,1059.9083692388178,1063.2939996098771,1071.1051597700134,1082.6507827663863,1091.4500290438643,1099.1406212464453,1106.6654383545442,1114.0619750386468,1119.9006304315953,1123.3037052005361,1124.5117274890251,1126.4823843223985,1129.9781341776622,1134.323954749841,1141.921497838847,1151.27595533064,1165.4289758719335,1177.2938487053743,1186.5542932025708,1195.7398956817333,1201.8757329125326,1207.2169565166846,1208.088615768476,1210.644052723709,1212.2360684764596,1216.7987099743384,1221.4047199828074,1233.2991853844312,1243.5337791959998,1255.7740968707715,1263.3123250227757,1270.7015488852476,1276.4143661660994,1277.5020997507759,1278.9263303279613,1278.0230464425094,1277.0837555344592,1276.961566705704,1283.377567693208,1291.5544248030653,1287.6265926972417,1282.8869744428991,1284.2880420000056,1301.2910353283241,1317.752475176044,1334.516014662365,1346.7009700686797,1355.8086088297039,1361.277072094774,1371.01440567196,1384.0728261735478,1401.1800188152226,1413.9801379891346,1451.4892090907229,1501.455088438178,1564.4572700690512,1614.8068162002874,1652.176160101585,1675.9630484029922,1683.7012079860376,1685.4784604064605,1689.8465191977295,1696.1424679896595,1703.9999289436337,1714.3773201563367,1726.7709341853006,1742.6970853488392,1756.599169744543,1749.6398896778394,1733.206679316618,1707.4063471004335,1692.0467324797894,1679.9129942715686,1678.5329427248162,1683.1808075368967,1695.1570595754456,1701.4822886205632,1711.162512698604,1714.778732232911,1722.9176976554852,1720.956343625338,1717.6476021252097,1718.2129660131013,1718.0163762079194,1715.9957392074812,1710.8097310602266,1708.8059161091217,1719.4778962114294,1732.0256359180128,1751.1286221748978,1762.6950576834577,1765.3356634679333,1766.5968167165665,1762.0660794651376
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1721.4761797776796,1734.740728321981,1744.1208519971221,1747.3225731750886,1761.3893514929669,1766.6394065802097,1786.2571685796959,1798.9434200503827,1810.1802715317208,1814.3819489787627,1815.4295036586873,1823.2102078031228,1831.003652967084,1835.9899188369627,1844.9089188187938,1849.438037562673,1861.558366254916,1878.0239815131843,1893.5368648783644,1903.565087013973,1904.1434142372452,1910.2020933777549,1910.8779745684428,1915.0632735104548,1916.2769026710018,1934.3982306113223,1951.5775110192728,1971.5994005399855,1985.1798678694809,2000.051279996015,2017.4015398744111,2025.7712351146163,2027.7764993718142,2023.662717803416,2023.3814136830367,2025.6221171104635,2035.6907767044881,2048.957573966018,2064.6959553565025,2075.14713636996,2092.244631788133,2101.90863652476,2116.7894859298863,2124.3799057098463,2131.642105176989,2132.2548033958096,2124.664667174689,2130.895262089007,2134.232754751037,2143.5178746188717,2147.7816626793515,2158.370417302724,2171.2193588452265,2182.84954787661,2195.597358226453,2205.8478374939623,2207.8319378412534,2206.2320665042735,2204.1635051840167,2212.7375252525503,2219.0761564973254,2225.5127878399267,2224.6176005994566,2212.780419700335,2203.906463219983,2198.7136218834576,2208.5546780732616,2214.1598596791046,2222.7076355485597,2236.090248719162,2251.2699148869933,2261.6897432444184,2272.974344774547,2282.631047510074,2303.4053687911855,2328.889093649473,2368.742488898682,2406.726430731709,2460.879793508981,2516.1911470385935,2580.1632578389776,2618.443500328897,2644.2830989733607,2657.064425949285,2671.6724059417897,2698.8333679263947,2733.330874151944,2782.138032572249,2826.1539595380996,2872.7319081555493,2907.890089345601,2940.717583608635,2947.8149272863975,2939.581500454667,2915.5130822095093,2902.029183934609,2898.6396165714386,2908.4335371863494,2934.0455819910444,2960.787637145407,2996.3294354567192,3020.119753630097,3041.301075889965,3043.0389586309957,3037.375564786381,3023.8388863348296,3003.833396884063,2984.164587282034,2970.084104452052,2980.0487789292915,3002.7298573068506,3030.924243511386,3049.5675210887966,3065.042164440272,3078.879953068716,3082.504963750392,3081.554680450829
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1067.0272701850524,1069.1323617574528,1079.0906457308188,1091.2466804756677,1106.9897849209037,1117.7889497242543,1130.129654694776,1134.0737260567153,1135.8567146374114,1137.9890593399527,1145.780079114273,1150.997802245435,1150.9695292752176,1152.155092415184,1156.716555291756,1169.90796253473,1177.9025510674912,1188.8222553630656,1191.7876158104107,1195.4266089841944,1197.3945427924193,1206.2948662509884,1211.8740141442627,1216.0498719112718,1218.1746419073384,1219.645053351651,1234.2568989615022,1243.8154689000642,1257.8044913139622,1259.3375960487801,1263.5467077679834,1261.9592472449556,1260.8729453202236,1256.3545177327312,1265.505283372664,1268.2465579947389,1273.9858392146812,1281.6148104033714,1285.0875088199568,1288.1863141222484,1286.8074796924025,1300.905037004327,1307.991276959929,1310.758398871816,1301.0184116666017,1302.7277037229092,1301.651093445898,1305.0087938233253,1311.0310021242267,1317.044938356229,1328.8761306365993,1335.2535729888286,1342.786878249479,1354.968778890132,1358.6171672949463,1363.3707223915735,1361.8630412415914,1358.5636732951311,1351.1959236886294,1339.6198906481418,1344.1885712619996,1351.5743565532666,1361.4241299625162,1357.539632474777,1353.1266071362022,1350.172783839594,1352.0457953590312,1354.0554200932806,1355.750190056798,1355.874823906771,1353.9271781510943,1353.4661818226343,1355.3666119147817,1364.1656557858548,1372.6818838415752,1391.872182561689,1416.1513542155662,1451.0234275829337,1485.1380918068312,1514.0272522815758,1535.6408609341595,1547.7623089072172,1558.1190150396662,1567.5049253566083,1578.906693622665,1595.5744851268878,1605.0108480888762,1627.666563715688,1649.1703846919079,1687.4113710890028,1708.0303080296349,1717.0985058987246,1711.7916359384494,1693.5903432963123,1682.0974840379986,1667.7690327543132,1666.6282631150948,1666.0865718265268,1674.4206335452259,1682.2191724060426,1690.9679701929101,1695.6908809527652,1699.9841189966794,1701.2169720480624,1699.748544423344,1695.1754973349302,1685.698826463843,1677.5801305120588,1673.1377472197569,1670.1104243500904,1666.3721788223643,1663.2381686926415,1670.6439697120957,1683.9901157583126,1696.6853349942594,1703.8360347149892,1696.7115249870076
